Timestamp,engine_cooling,engine_oil_pressure,txn_oil_pressure
2024-01-01 00:00:00,102.12°C,9.27 Pa,1.43 Pa
2024-01-01 00:01:00,102.13°C,9.28 Pa,1.43 Pa
2024-01-01 00:02:00,102.15°C,9.29 Pa,1.43 Pa
2024-01-01 00:03:00,102.16°C,9.30 Pa,1.43 Pa
2024-01-01 00:04:00,102.17°C,9.31 Pa,1.43 Pa
2024-01-01 00:05:00,102.19°C,9.32 Pa,1.43 Pa
2024-01-01 00:06:00,102.20°C,9.33 Pa,1.43 Pa
2024-01-01 00:07:00,102.21°C,9.34 Pa,1.43 Pa
2024-01-01 00:08:00,102.23°C,9.35 Pa,1.44 Pa
2024-01-01 00:09:00,102.24°C,9.36 Pa,1.44 Pa
2024-01-01 00:10:00,102.25°C,9.38 Pa,1.44 Pa
2024-01-01 00:11:00,102.26°C,9.39 Pa,1.44 Pa
2024-01-01 00:12:00,102.28°C,9.40 Pa,1.44 Pa
2024-01-01 00:13:00,102.29°C,9.41 Pa,1.44 Pa
2024-01-01 00:14:00,102.30°C,9.42 Pa,1.44 Pa
2024-01-01 00:15:00,102.31°C,9.43 Pa,1.44 Pa
2024-01-01 00:16:00,102.32°C,9.44 Pa,1.44 Pa
2024-01-01 00:17:00,102.34°C,9.45 Pa,1.44 Pa
2024-01-01 00:18:00,102.35°C,9.46 Pa,1.45 Pa
2024-01-01 00:19:00,102.36°C,9.47 Pa,1.45 Pa
2024-01-01 00:20:00,102.37°C,9.48 Pa,1.45 Pa
2024-01-01 00:21:00,102.38°C,9.49 Pa,1.45 Pa
2024-01-01 00:22:00,102.39°C,9.49 Pa,1.45 Pa
2024-01-01 00:23:00,102.40°C,9.50 Pa,1.45 Pa
2024-01-01 00:24:00,102.42°C,9.51 Pa,1.45 Pa
2024-01-01 00:25:00,102.43°C,9.52 Pa,1.45 Pa
2024-01-01 00:26:00,102.44°C,9.53 Pa,1.45 Pa
2024-01-01 00:27:00,102.45°C,9.54 Pa,1.45 Pa
2024-01-01 00:28:00,102.46°C,9.55 Pa,1.46 Pa
2024-01-01 00:29:00,102.47°C,9.56 Pa,1.46 Pa
2024-01-01 00:30:00,102.48°C,9.57 Pa,1.46 Pa
2024-01-01 00:31:00,102.49°C,9.58 Pa,1.46 Pa
2024-01-01 00:32:00,102.51°C,"1.9 Pa, POTENTIAL PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.46 Pa
2024-01-01 00:33:00,102.52°C,"1.9 Pa, POTENTIAL PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.46 Pa
2024-01-01 00:34:00,102.54°C,"1.8 Pa, POTENTIAL PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.46 Pa
2024-01-01 00:35:00,102.55°C,"1.8 Pa, POTENTIAL PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.46 Pa
2024-01-01 00:36:00,102.56°C,"1.7 Pa, POTENTIAL PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.46 Pa
2024-01-01 00:37:00,102.57°C,"1.7 Pa, POTENTIAL PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.46 Pa
2024-01-01 00:38:00,102.58°C,"1.6 Pa, POTENTIAL PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.46 Pa
2024-01-01 00:39:00,102.60°C,"1.5 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.46 Pa
2024-01-01 00:40:00,102.61°C,"1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.47 Pa
2024-01-01 00:41:00,102.62°C,"1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.47 Pa
2024-01-01 00:42:00,102.63°C,"1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.47 Pa
2024-01-01 00:43:00,102.64°C,"1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.47 Pa
2024-01-01 00:44:00,102.66°C,"1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.47 Pa
2024-01-01 00:45:00,102.67°C,"1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.47 Pa
2024-01-01 00:46:00,102.68°C,"1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.47 Pa
2024-01-01 00:47:00,102.69°C,"1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.47 Pa
2024-01-01 00:48:00,"104.33 °C, POTENTIAL TEMPERATURE SPIKE! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.47 Pa
2024-01-01 00:49:00,"104.33 °C, POTENTIAL TEMPERATURE SPIKE! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.47 Pa
2024-01-01 00:50:00,"104.33 °C, POTENTIAL TEMPERATURE SPIKE! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.47 Pa
2024-01-01 00:51:00,"104.33 °C, POTENTIAL TEMPERATURE SPIKE! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.47 Pa
2024-01-01 00:52:00,"104.33 °C, POTENTIAL TEMPERATURE SPIKE! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.47 Pa
2024-01-01 00:53:00,"104.33 °C, POTENTIAL TEMPERATURE SPIKE! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.47 Pa
2024-01-01 00:54:00,"104.33 °C, POTENTIAL TEMPERATURE SPIKE! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.48 Pa
2024-01-01 00:55:00,"104.33 °C, POTENTIAL TEMPERATURE SPIKE! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.48 Pa
2024-01-01 00:56:00,"121.8 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.48 Pa
2024-01-01 00:57:00,"123.61 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.48 Pa
2024-01-01 00:58:00,"120 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.48 Pa
2024-01-01 00:59:00,"128.14 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.48 Pa
2024-01-01 01:00:00,"122.48 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.48 Pa
2024-01-01 01:01:00,"125.39 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.48 Pa
2024-01-01 01:02:00,"121.64 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.48 Pa
2024-01-01 01:03:00,"123.81 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.48 Pa
2024-01-01 01:04:00,"123.84 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.48 Pa
2024-01-01 01:05:00,"121.94 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.48 Pa
2024-01-01 01:06:00,"118.05 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.48 Pa
2024-01-01 01:07:00,"118.47 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.48 Pa
2024-01-01 01:08:00,"128.48 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.48 Pa
2024-01-01 01:09:00,"119.83 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.48 Pa
2024-01-01 01:10:00,"119.92 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:11:00,"123.81 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:12:00,"123.84 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
